study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	min	max	sd	se	unit	comments
Ripley2000	NA	black	9.0	HCTZ25	tmax	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	NA	4.0	NA	NA	NA	2.0	NA	hr	time to max excretion rate
Ripley2000	NA	black	9.0	HCTZ25	maximum excretion rate	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	NA	0.0463	NA	NA	NA	0.012	NA	mg/min	NA
Ripley2000	NA	black	9.0	HCTZ25	recovery	hydrochlorothiazide	urine	HPLC	NA	36.0	hr	NA	NA	49.0	NA	NA	NA	16.0	NA	percent	NA
Ripley2000	NA	white	9.0	HCTZ25	tmax	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	NA	3.0	NA	NA	NA	1.0	NA	hr	time to max excretion rate
Ripley2000	NA	white	9.0	HCTZ25	maximum excretion rate	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	NA	0.0468	NA	NA	NA	0.018	NA	mg/min	NA
Ripley2000	NA	white	9.0	HCTZ25	recovery	hydrochlorothiazide	urine	HPLC	NA	36.0	hr	NA	NA	55.0	NA	NA	NA	9.0	NA	percent	NA
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_black	0.0	hr	NA	NA	0.0	NA	NA	NA	0.0	NA	mg	calculated from % recovery for 25 mg dose
Ripley2000	NA	black	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_black	36.0	hr	NA	NA	12.25	NA	NA	NA	4.0	NA	mg	calculated from % recovery for 25 mg dose
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_white	0.0	hr	NA	NA	0.0	NA	NA	NA	0.0	NA	mg	calculated from % recovery for 25 mg dose
Ripley2000	NA	white	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_white	36.0	hr	NA	NA	13.75	NA	NA	NA	2.25	NA	mg	calculated from % recovery for 25 mg dose
